resolution,status,cell_count,dx,final_time,relative_L2_change,final_residual,continuity_error,wall_clock_seconds,RMSE_U,L_inf_U,RMSE_V,L_inf_V,reference_status
20,completed,400,0.05,20.0,4.363116003309975e-06,3.61083e-07,3.87303e-18,33.0,0.012202226425683483,0.020614577999999995,0.015881216805031878,0.02930663,available
40,completed,1600,0.025,20.0,5.680875503245615e-06,8.03621e-07,-4.15826e-18,36.0,0.004331137251648654,0.010026427999999976,0.011842795899393905,0.02274505199999996,available
80,completed,6400,0.0125,30.0,1.1123555047338671e-06,7.39679e-07,-3.96374e-18,77.0,0.0003840012015570382,0.0011009256000000037,0.0009703284530687084,0.001891924000000017,available
160,completed,25600,0.00625,40.0,4.284421093389049e-06,9.91535e-07,1.54077e-17,296.0,0.001493545022416957,0.0029767039999999967,0.0030519787094046165,0.005614011999999946,available
