model,comparison_iteration,final_iteration,actual_offset_iterations,pressure_recovery_previous,pressure_recovery_final,pressure_recovery_relative_change,reattachment_length_previous,reattachment_length_final,reattachment_relative_change,lower_yplus_median_previous,lower_yplus_median_final,lower_yplus_median_relative_change,lower_yplus_p95_previous,lower_yplus_p95_final,lower_yplus_p95_relative_change,wall_shear_curve_relative_L2,flow_imbalance_previous,flow_imbalance_final,pressure_recovery_gate,reattachment_gate,lower_yplus_median_gate,lower_yplus_p95_gate,wall_shear_curve_gate,final_flow_imbalance_gate,qoi_stability_passed
kEpsilon,998,1098,100.0,5.01257,5.0378,0.005008138473142968,6.596691372520639,6.678161658120731,0.012199507854234494,19.0014,18.91305,0.0046496573936658315,26.933234999999996,26.70693,0.008402444043576512,0.00691526661675106,3.9370094253620014e-07,2.362200074361126e-06,True,True,True,True,True,True,True
kOmegaSST,1702,1802,100.0,5.48234,5.441751,0.0074035904376597884,7.786134182789532,7.763667649254962,0.002885454194230299,14.207550000000001,14.1862,0.0015027221442121797,19.54455,19.542955,8.16084279250118e-05,0.051898153867788975,6.692871225942666e-06,3.5433084817586728e-06,True,True,True,True,False,True,False
