all_crossings_json,attached_sign,confidence_status,model,reattachment_length_normalized,result_status,selected_crossing_json,selected_reason,separated_sign,status,upstream_attached_median,x_reattachment_raw
"[{""crossing_index"": 0, ""direction"": ""positive-to-negative"", ""later_sustained_separated"": false, ""post_attached_count"": 43, ""pre_separated_count"": 155, ""pre_separated_length"": 0.165366834849, ""rejection_reason"": null, ""selected_eligible"": true, ""x_crossing"": 0.16962530611626656}]",-1,selected_final_stable_recovery,kEpsilon,6.678161658120731,provisional_incomplete_convergence,"{""crossing_index"": 0, ""direction"": ""positive-to-negative"", ""later_sustained_separated"": false, ""post_attached_count"": 43, ""pre_separated_count"": 155, ""pre_separated_length"": 0.165366834849, ""rejection_reason"": null, ""selected_eligible"": true, ""x_crossing"": 0.16962530611626656}",selected_final_stable_recovery,1,detected,-0.5222365,0.16962530611626656
"[{""crossing_index"": 0, ""direction"": ""positive-to-negative"", ""later_sustained_separated"": true, ""post_attached_count"": 21, ""pre_separated_count"": 8, ""pre_separated_length"": 0.003800824961, ""rejection_reason"": ""insufficient_sustained_separation_before_crossing"", ""selected_eligible"": false, ""x_crossing"": 0.00427256046365863}, {""crossing_index"": 1, ""direction"": ""positive-to-negative"", ""later_sustained_separated"": true, ""post_attached_count"": 15, ""pre_separated_count"": 4, ""pre_separated_length"": 0.0020075722749999976, ""rejection_reason"": ""insufficient_sustained_separation_before_crossing"", ""selected_eligible"": false, ""x_crossing"": 0.019850951376353624}, {""crossing_index"": 2, ""direction"": ""positive-to-negative"", ""later_sustained_separated"": false, ""post_attached_count"": 29, ""pre_separated_count"": 128, ""pre_separated_length"": 0.16563472012, ""rejection_reason"": null, ""selected_eligible"": true, ""x_crossing"": 0.197197158291076}]",-1,selected_final_stable_recovery,kOmegaSST,7.763667649254962,provisional_incomplete_convergence,"{""crossing_index"": 2, ""direction"": ""positive-to-negative"", ""later_sustained_separated"": false, ""post_attached_count"": 29, ""pre_separated_count"": 128, ""pre_separated_length"": 0.16563472012, ""rejection_reason"": null, ""selected_eligible"": true, ""x_crossing"": 0.197197158291076}",selected_final_stable_recovery,1,detected,-0.47543599999999997,0.197197158291076
